run_id,source_variant_id,fold_id,status,attempt_count,kpi_record_count
run03K_et_v01_wfo_fold07_mt5_v1,v01_base_leaf20_q90,fold07,completed,6,10
run03K_et_v02_wfo_fold07_mt5_v1,v02_dense_leaf10_q90,fold07,completed,6,10
run03K_et_v03_wfo_fold07_mt5_v1,v03_smooth_leaf40_q90,fold07,completed,6,10
run03K_et_v04_wfo_fold07_mt5_v1,v04_log2_features_leaf20_q90,fold07,completed,6,10
run03K_et_v05_wfo_fold07_mt5_v1,v05_half_features_leaf20_q90,fold07,completed,6,10
run03K_et_v06_wfo_fold07_mt5_v1,v06_entropy_leaf20_q90,fold07,completed,6,10
run03K_et_v07_wfo_fold07_mt5_v1,v07_balanced_subsample_leaf20_q90,fold07,completed,6,10
run03K_et_v08_wfo_fold07_mt5_v1,v08_depth12_leaf20_q90,fold07,completed,6,10
run03K_et_v09_wfo_fold07_mt5_v1,v09_depth8_leaf10_q90,fold07,completed,6,10
run03K_et_v10_wfo_fold07_mt5_v1,v10_bootstrap70_leaf20_q90,fold07,completed,6,10
run03K_et_v11_wfo_fold07_mt5_v1,v11_base_leaf20_q85,fold07,completed,6,10
run03K_et_v12_wfo_fold07_mt5_v1,v12_base_leaf20_q95,fold07,completed,6,10
run03K_et_v13_wfo_fold07_mt5_v1,v13_base_margin002_q90,fold07,completed,6,10
run03K_et_v14_wfo_fold07_mt5_v1,v14_base_margin005_q90,fold07,completed,6,10
run03K_et_v15_wfo_fold07_mt5_v1,v15_base_short_only_q90,fold07,completed,6,10
run03K_et_v16_wfo_fold07_mt5_v1,v16_base_long_only_q90,fold07,completed,6,10
run03K_et_v17_wfo_fold07_mt5_v1,v17_top30_features_q90,fold07,completed,6,10
run03K_et_v18_wfo_fold07_mt5_v1,v18_core42_features_q90,fold07,completed,6,10
run03K_et_v19_wfo_fold07_mt5_v1,v19_context16_features_q90,fold07,completed,6,10
run03K_et_v20_wfo_fold07_mt5_v1,v20_base_inverse_q90,fold07,completed,6,10
