contract_symbol,expected_broker_symbol,status,csv_status,manifest_status,row_count,first_open_utc,last_open_utc,non_m5_forward_step_count,largest_forward_gap_seconds,csv_path,manifest_path
US100,US100,usable_raw_inventory,ok,ok,261345,2022-08-01T01:00:00Z,2026-04-13T23:55:00Z,967,349800,data/raw/mt5_bars/m5/US100/bars_us100_m5_mt5api_raw.csv,data/raw/mt5_bars/m5/US100/bars_us100_m5_mt5api_raw.manifest.json
VIX,VIX,usable_raw_inventory,ok,ok,158415,2022-08-01T01:00:00Z,2026-04-13T23:55:00Z,29475,351000,data/raw/mt5_bars/m5/VIX/bars_vix_m5_mt5api_raw.csv,data/raw/mt5_bars/m5/VIX/bars_vix_m5_mt5api_raw.manifest.json
US10YR,US10YR,usable_raw_inventory,ok,ok,223363,2022-08-01T01:00:00Z,2026-04-13T23:55:00Z,23003,411900,data/raw/mt5_bars/m5/US10YR/bars_us10yr_m5_mt5api_raw.csv,data/raw/mt5_bars/m5/US10YR/bars_us10yr_m5_mt5api_raw.manifest.json
USDX,USDX,usable_raw_inventory,ok,ok,238993,2022-08-01T03:00:00Z,2026-04-13T23:55:00Z,1057,357000,data/raw/mt5_bars/m5/USDX/bars_usdx_m5_mt5api_raw.csv,data/raw/mt5_bars/m5/USDX/bars_usdx_m5_mt5api_raw.manifest.json
NVDA,NVDA.xnas,usable_raw_inventory,ok,ok,71046,2022-08-01T16:35:00Z,2026-04-13T22:55:00Z,934,333300,data/raw/mt5_bars/m5/NVDA/bars_nvda_xnas_m5_mt5api_raw.csv,data/raw/mt5_bars/m5/NVDA/bars_nvda_xnas_m5_mt5api_raw.manifest.json
AAPL,AAPL.xnas,usable_raw_inventory,ok,ok,71935,2022-08-01T16:30:00Z,2026-04-13T22:55:00Z,938,408900,data/raw/mt5_bars/m5/AAPL/bars_aapl_xnas_m5_mt5api_raw.csv,data/raw/mt5_bars/m5/AAPL/bars_aapl_xnas_m5_mt5api_raw.manifest.json
MSFT,MSFT.xnas,usable_raw_inventory,ok,ok,71910,2022-08-01T16:30:00Z,2026-04-13T22:55:00Z,936,408900,data/raw/mt5_bars/m5/MSFT/bars_msft_xnas_m5_mt5api_raw.csv,data/raw/mt5_bars/m5/MSFT/bars_msft_xnas_m5_mt5api_raw.manifest.json
AMZN,AMZN.xnas,usable_raw_inventory,ok,ok,71933,2022-08-01T16:30:00Z,2026-04-13T22:55:00Z,939,408900,data/raw/mt5_bars/m5/AMZN/bars_amzn_xnas_m5_mt5api_raw.csv,data/raw/mt5_bars/m5/AMZN/bars_amzn_xnas_m5_mt5api_raw.manifest.json
AMD,AMD.xnas,usable_raw_inventory,ok,ok,71932,2022-08-01T16:30:00Z,2026-04-13T22:55:00Z,938,408900,data/raw/mt5_bars/m5/AMD/bars_amd_xnas_m5_mt5api_raw.csv,data/raw/mt5_bars/m5/AMD/bars_amd_xnas_m5_mt5api_raw.manifest.json
GOOGL.xnas,GOOGL.xnas,usable_raw_inventory,ok,ok,71917,2022-08-01T16:30:00Z,2026-04-13T22:55:00Z,936,408900,data/raw/mt5_bars/m5/GOOGL.xnas/bars_googl_xnas_m5_mt5api_raw.csv,data/raw/mt5_bars/m5/GOOGL.xnas/bars_googl_xnas_m5_mt5api_raw.manifest.json
META,META.xnas,usable_raw_inventory,ok,ok,71916,2022-08-01T16:30:00Z,2026-04-13T22:55:00Z,937,408900,data/raw/mt5_bars/m5/META/bars_meta_xnas_m5_mt5api_raw.csv,data/raw/mt5_bars/m5/META/bars_meta_xnas_m5_mt5api_raw.manifest.json
TSLA,TSLA.xnas,usable_raw_inventory,ok,ok,71916,2022-08-01T16:30:00Z,2026-04-13T22:55:00Z,937,408900,data/raw/mt5_bars/m5/TSLA/bars_tsla_xnas_m5_mt5api_raw.csv,data/raw/mt5_bars/m5/TSLA/bars_tsla_xnas_m5_mt5api_raw.manifest.json
